name,conference,division,draft_order
Arizona Cardinals,NFC,West,1
Atlanta Falcons,NFC,South,14
Baltimore Ravens,AFC,North,22
Buffalo Bills,AFC,East,9
Carolina Panthers,NFC,South,16
Chicago Bears,NFC,North,24
Cincinnati Bengals,AFC,North,11
Cleveland Browns,AFC,North,17
Dallas Cowboys,NFC,East,27
Denver Broncos,AFC,West,10
Detroit Lions,NFC,North,8
Green Bay Packers,NFC,North,12
Houston Texans,AFC,South,23
Indianapolis Colts,AFC,South,26
Jacksonville Jaguars,AFC,South,7
Kansas City Chiefs,AFC,West,29
Miami Dolphins,AFC,East,13
Los Angeles Chargers,AFC,West,28
Los Angeles Rams,NFC,West,31
Minnesota Vikings,NFC,North,18
New England Patriots,AFC,East,32
New Orleans Saints,NFC,South,30
NY Giants,NFC,East,6
NY Jets,AFC,East,3
Oakland Raiders,AFC,West,4
Philadelphia Eagles,NFC,East,25
Pittsburgh Steelers,AFC,North,20
San Francisco 49ers,NFC,West,2
Seattle Seahawks,NFC,West,21
Tampa Bay Buccaneers,NFC,South,5
Tennessee Titans,AFC,South,19
Washington Redskins,NFC,East,15
