id, name, school, position, drafted
Coznesster Smiff , Rutgers University
Elipses Corter , University of Alabama
Nyquillus Dillwad , LSU
Bismo Funyuns , Florida State University
Decatholac Mango , Georgia Tech University
Mergatroid Skittle , University of Louisville
Quiznatodd Bidness , University of Tennessee
D'Pez Poopsie , Ole Miss University
Quackadilly Blip , Auburn University
Goolius Boozler , The U
Bisquiteen Trisket , University of Michigan
Fartrell Cluggins , Arkansas University
Blyrone Blashinton , Syracuse University
Cartoons Plural , Virginia Tech University
Jammie Jammie-Jammie , The Ohio State University
Fudge , N/A
Equine Ducklings , Indiana University Purdue University Indianapolis
Dahistorius Lamystorius , Utah State University
Ewokoniad Sigourneth JuniorStein , Oklahoma State University
Eqqsnuizitine Buble-Schwinslow , University of Nebraska
Huka'lakanaka Hakanakaheekalucka'hukahakafaka , University of Hawaii
King Prince Chambermaid , Baylor University
Ladennifer Jadaniston , University of Colorado
Ladadadaladadadadada Dala-Dadaladaladalada , University of Arizona
Harvard University , DeVry University
Morse Code , Army Navay Surplus Store
Wingdings , Online Classes
Firstname Lastname , College University
God , Home schooled
Squeeeeeeeeeeps , Santa Monica College
Benedict Cumberbatch , Oxford University
A.A. Ron Balakay , Morehouse College
